productId,h,w,l,weightKg,source,itemRef,error
"cmnckf4nq007fvs60trlmdigb","30","50","80","12","cat:MLB101763->XLARGE","MLB3964479656",""
"cmncla47v0005vs1cqrc88elf","10","10","50","0.8","cat:MLB63687->SMALL_LONG","MLB3394906719",""
"cmnckbe4l010fvs9kyuchal7h","25","25","25","2","cat:MLB22645->MEDIUM","MLB3188879825",""
"cmnckf6ey00qnvs60nnwp27ne","10","10","50","0.8","cat:MLB6170->SMALL_LONG","MLB4173437958",""
"cmnckf4nn0046vs607wchwb83","15","15","15","0.6","kw:SMALL","MLB3925008474",""
"cmnckbdjn010dvs9k6s0kqqgk","25","25","25","2","cat:MLB22645->MEDIUM","MLB3187800510",""
"cmnckf4nn0048vs60u8vgm3nc","15","15","15","0.6","kw:SMALL","MLB3925058700",""
"cmnckbfzj010lvs9kgdv7nnzi","30","50","80","12","cat:MLB101763->XLARGE","MLB3390171061",""
"cmnckf4nk000gvs6039jcnnv6","30","50","80","12","cat:MLB101763->XLARGE","MLB3810923092",""
"cmnckf6er00fivs6069t8rgv9","10","10","10","0.3","kw:TINY","MLB4031294378",""
"cmnckf4nm002fvs60ridvl92g","25","25","25","2","kw:MEDIUM","MLB3894335396",""
"cmncla47v0006vs1c7nhi7237","15","15","15","0.6","fallback:SMALL","MLB3406170735",""
"cmnckf4np006evs60i7unqilh","30","50","80","12","cat:MLB101763->XLARGE","MLB3951644780",""
"cmnckbfae010jvs9kimffx8tp","30","50","80","12","cat:MLB101763->XLARGE","MLB3383613939",""
"cmnck180j002fvs9kmyktvqtz","15","40","40","2","cat:MLB277543->MEDIUM_FLAT","MLB3994054962",""
"cmnckf89t013gvs6091mwjv1n","15","15","15","0.6","cat:MLB428985->SMALL","MLB4377962276",""
"cmnclaqkb04jfvs1c4ql04hw4","15","15","15","0.6","cat:MLB191714->SMALL","MLB4579513654",""
"cmnckbgki010nvs9kbh811kyn","15","15","15","0.6","cat:MLB428983->SMALL","MLB3419304551",""
"cmnclaqkb04jjvs1cb5n4mszs","30","40","50","5","cat:MLB7863->LARGE","MLB4583095006",""
"cmnckbepj010hvs9ksfrvi3n0","30","40","50","5","cat:MLB7863->LARGE","MLB3245475513",""
"cmnckfekd021kvs60aqie8tef","30","50","80","12","cat:MLB101763->XLARGE","MLB4580472504",""
"cmnckf6ez00qyvs60ysloxucp","15","15","15","0.6","cat:MLB428985->SMALL","MLB4184358558",""
"cmnckbhqi010rvs9kv96n5b3h","30","50","80","12","cat:MLB101763->XLARGE","MLB3646945929",""
"cmnclaqkb04jgvs1cl31j7aq7","30","50","80","12","kw:XLARGE","MLB4580062766",""
"cmnckbh5i010pvs9k8xxi8ggl","15","15","15","0.6","cat:MLB194431->SMALL","MLB3645790917",""
"cmnckfekd021jvs60d7ktgyln","15","15","15","0.6","cat:MLB428983->SMALL","MLB4579447234",""
"cmnclac7t01wrvs1czs7a7iq6","15","15","15","0.6","kw:SMALL","MLB4577603542",""
"cmnclamef03tuvs1cl3ewkmiy","30","40","50","5","cat:MLB7863->LARGE","MLB3650076511",""
"cmnckfekd021hvs60th5u5osw","15","15","15","0.6","cat:MLB428983->SMALL","MLB4577986106",""
"cmnckbibj010tvs9k1l6c5ruc","15","15","15","0.6","cat:MLB194800->SMALL","MLB3648001457",""
"cmnckbmyu0119vs9kn9hvecf2","25","25","25","2","cat:MLB22645->MEDIUM","MLB3654181699",""
"cmnclamef03ttvs1c4qspyvnr","15","15","15","0.6","cat:MLB191714->SMALL","MLB3614157831",""
"cmnckfekd021vvs60pr4nfs4y","25","25","25","2","cat:MLB22645->MEDIUM","MLB4595781158",""
"cmnckfekd021wvs60j74dbddo","25","25","25","2","cat:MLB22645->MEDIUM","MLB4595809440",""
"cmnckfekd021rvs60qcdm55wx","25","25","25","2","cat:MLB22645->MEDIUM","MLB4595644674",""
"cmnckbopt011fvs9kj4tke2ud","25","25","25","2","cat:MLB22645->MEDIUM","MLB3654342167",""
"cmnckfekd021uvs60aig5yaz0","25","25","25","2","cat:MLB22645->MEDIUM","MLB4595704878",""
"cmnckfekd021svs606sbkmuxx","25","25","25","2","cat:MLB22645->MEDIUM","MLB4595645748",""
"cmnckfekd021pvs60jh2vc6bh","25","25","25","2","cat:MLB22645->MEDIUM","MLB4595584136",""
"cmnckf89p00xmvs6076j24i8v","15","15","15","0.6","cat:MLB428983->SMALL","MLB4272724000",""
"cmnckbiwf010vvs9kh0j9am4l","25","25","25","2","cat:MLB22645->MEDIUM","MLB3651152441",""
"cmnclaqkb04jivs1ckbjouifk","30","40","50","5","cat:MLB7863->LARGE","MLB4583093192",""
"cmnckfekd021nvs60djb4xq4q","15","15","15","0.6","cat:MLB63846->SMALL","MLB4593342304",""
"cmnckfekd021ovs60es8m6bx1","25","25","25","2","cat:MLB22645->MEDIUM","MLB4594812800",""
"cmnckfekd021qvs60vx5c4vbn","25","25","25","2","cat:MLB22645->MEDIUM","MLB4595618462",""
"cmnckfekd021ivs60js8ecqna","15","15","15","0.6","cat:MLB428983->SMALL","MLB4578344512",""
"cmnclaqkb04jkvs1c9c5q3rcd","15","15","15","0.6","cat:MLB63846->SMALL","MLB4613318046",""
"cmnckfekd021lvs60suocc3nk","30","40","50","5","cat:MLB7863->LARGE","MLB4587172870",""
"cmnckfekd021tvs60m9feo6an","25","25","25","2","cat:MLB22645->MEDIUM","MLB4595686678",""
"cmnckfekd021xvs607q2nkpy7","25","25","25","2","cat:MLB22645->MEDIUM","MLB4597756858",""
"cmnckfekd0223vs60u4ehjmvc","15","15","15","0.6","cat:MLB194431->SMALL","MLB4613508832",""
"cmnckblt10115vs9ke7xihn72","25","25","25","2","cat:MLB22645->MEDIUM","MLB3654131309",""
"cmnckbk2a010zvs9kh0nleb8v","25","25","25","2","cat:MLB22645->MEDIUM","MLB3654105213",""
"cmnckfekd021mvs60hhq3ye02","25","25","25","2","cat:MLB22645->MEDIUM","MLB4592551132",""
"cmnckbl810113vs9kofd9f070","25","25","25","2","cat:MLB22645->MEDIUM","MLB3654116755",""
"cmnckbmdy0117vs9k3wsvcsr4","25","25","25","2","cat:MLB22645->MEDIUM","MLB3654144811",""
"cmnckfekd0222vs60if1r7pky","25","25","25","2","cat:MLB22645->MEDIUM","MLB4608842890",""
