itemId,account,category,oldTier,newTier,h,w,l,weightG,status,error
MLB3272983229,JOTABÊ AUTOPEÇAS,MLB7863,LARGE,XLARGE,30,50,80,12000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height] are too small for the product dimensions)
MLB3638638262,JOTABÊ AUTOPEÇAS,MLB428983,SMALL,MEDIUM,25,25,25,2000,ok,
MLB3798001582,JOTABÊ AUTOPEÇAS,MLB101763,XLARGE,XXLARGE,30,70,100,18000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB3390195635,JOTABÊ AUTOPEÇAS,MLB430536,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_height] are too small for the product dimensions)
MLB4049830732,JOTABÊ AUTOPEÇAS,MLB194431,SMALL,MEDIUM,25,25,25,2000,ok,
MLB4040538332,JOTABÊ AUTOPEÇAS,MLB194431,SMALL,MEDIUM,25,25,25,2000,ok,
MLB4057113882,JOTABÊ AUTOPEÇAS,MLB194431,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB3452268465,JOTABÊ AUTOPEÇAS,MLB194431,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_height] are too small for the product dimensions)
MLB3452319217,JOTABÊ AUTOPEÇAS,MLB194431,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_height] are too small for the product dimensions)
MLB4057124906,JOTABÊ AUTOPEÇAS,MLB194431,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB4049570472,JOTABÊ AUTOPEÇAS,MLB101763,XLARGE,XXLARGE,30,70,100,18000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB3430361521,JOTABÊ AUTOPEÇAS,MLB101763,XLARGE,XXLARGE,30,70,100,18000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB4081821674,JOTABÊ AUTOPEÇAS,MLB101763,XLARGE,XXLARGE,30,70,100,18000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB4081608588,JOTABÊ AUTOPEÇAS,MLB101763,XLARGE,XXLARGE,30,70,100,18000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB4103619554,JOTABÊ AUTOPEÇAS,MLB101763,XLARGE,XXLARGE,30,70,100,18000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB4107401014,JOTABÊ AUTOPEÇAS,MLB101763,XLARGE,XXLARGE,30,70,100,18000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB4102416030,JOTABÊ AUTOPEÇAS,MLB101763,XLARGE,XXLARGE,30,70,100,18000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB4120037638,JOTABÊ AUTOPEÇAS,MLB101763,XLARGE,XXLARGE,30,70,100,18000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB4128342572,JOTABÊ AUTOPEÇAS,MLB101763,XLARGE,XXLARGE,30,70,100,18000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB4120392840,JOTABÊ AUTOPEÇAS,MLB101763,XLARGE,XXLARGE,30,70,100,18000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB4130699610,JOTABÊ AUTOPEÇAS,MLB101763,XLARGE,XXLARGE,30,70,100,18000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB4188871218,JOTABÊ AUTOPEÇAS,MLB115598,TINY,SMALL,15,15,15,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
