itemId,account,category,strategy,catalogProductId,tierH,tierW,tierL,tierWg,catH,catW,catL,catWg,h,w,l,weightG,source,skipReason,title,status
"MLB3175725322","JOTABÊ AUTOPEÇAS","MLB192357","push-tier","","15","15","15","600","","","","","15","15","15","600","cat:MLB192357->SMALL","","Tbi Fiat Argo Mobi 3 Cilindros 44gte3f4d","ok"
"MLB3178192317","JOTABÊ AUTOPEÇAS","MLB22668","push-tier","","10","10","10","300","","","","","10","10","10","300","cat:MLB22668->TINY","","Bobina Ignição Kia Cerato/kia Soul/hb20 1.6 2730126010","ok"
"MLB3174950876","JOTABÊ AUTOPEÇAS","MLB63846","push-tier","","15","15","15","600","","","","","15","15","15","600","cat:MLB63846->SMALL","","Retrovisor Uno Vivace Direito Manual 2014 2015","ok"
"MLB3189216682","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB45958697","30","40","50","5000","30","30","30","900","30","40","50","5000","cat:MLB22645->LARGE+catFloor","Erro ao atualizar item: Repeated user-product. Conflict id: MLBU1438308252 (item.user_product.repeated.conflict: User product was duplicated)","Lanterna Traseira Direita Uno Vivace 5202788 Direito Vermelho","error"
"MLB3147041768","JOTABÊ AUTOPEÇAS","MLB63846","push-tier","","15","15","15","600","","","","","15","15","15","600","cat:MLB63846->SMALL","","Retrovisor Gol G6 Direito Manual","ok"
"MLB3189214755","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB43128742","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Esquerda Uno Vivace 5202789 Esquerdo Vermelho","ok"
"MLB3185997713","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB45668375","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Lado Esquerdo Hb20 Cod: 924011s000","ok"
"MLB3177890198","JOTABÊ AUTOPEÇAS","MLB22668","push-with-catalog-floor","MLB45664465","10","10","10","300","","","","","10","10","10","300","cat:MLB22668->TINY+catFloor","","Bobina Ignição Renault Cod: 0 040 100 071","ok"
"MLB3178274821","JOTABÊ AUTOPEÇAS","MLB22668","push-tier","","10","10","10","300","","","","","10","10","10","300","cat:MLB22668->TINY","","Bobina Ignição Kia Cerato/kia Soul/hb20 1.6 2730126010","ok"
"MLB3204044764","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Direito Fox Foco Simples 2010 A 2014 Com Detalhe Direito","ok"
"MLB3189217362","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB45958697","30","40","50","5000","30","30","30","900","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Direita Uno Vivace 5202788 Direito Vermelho","ok"
"MLB3229153979","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB46102551","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Esquerda Volkswagen Up 2014 A 2019 Direito Bicolor","ok"
"MLB3208604896","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB43124883","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Esquerda Ecosport 2004","ok"
"MLB3226024353","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB48740312","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Chery Tiggo 2 Com Detalhe Esquerdo/motorista Bicolor","ok"
"MLB3211987951","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Esquerda Strada 6004792","ok"
"MLB3206806195","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Chery Tiggo Esquerda 2016 A 2022 Esquerdo Bicolor","ok"
"MLB3204037088","JOTABÊ AUTOPEÇAS","MLB7863","push-with-catalog-floor","MLB40797973","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE+catFloor","","Farol Fox Direito Simples 05z1941006j Com Detalhe  Direito","ok"
"MLB3229430003","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Lado Direito Volkswagen Paraty 90/96 Direito Tricolor","ok"
