itemId,account,h,w,l,weightG,status,error
MLB3406048289,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3189216682,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB3402352063,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3892852872,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB3887922818,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3883490174,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3860358280,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3911487976,JOTABÊ AUTOPEÇAS,15,40,40,2000,ok,
MLB3409818863,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3907180650,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3411098661,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3902354872,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3925008474,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3417660849,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3415069629,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3925237090,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3417955155,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3424435549,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3928280616,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3419454683,JOTABÊ AUTOPEÇAS,30,70,100,18000,ok,
MLB3419024615,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3924654314,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3419429659,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3419007679,JOTABÊ AUTOPEÇAS,10,10,50,800,ok,
MLB3951644780,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3421844659,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3419368303,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3419304551,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3433919919,JOTABÊ AUTOPEÇAS,30,70,100,18000,ok,
MLB3969969470,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3968930586,JOTABÊ AUTOPEÇAS,30,70,100,18000,ok,
MLB3994054962,JOTABÊ AUTOPEÇAS,15,40,40,2000,ok,
MLB3436727745,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3994748752,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB3434247117,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB3976786646,JOTABÊ AUTOPEÇAS,30,70,100,18000,ok,
MLB3976837548,JOTABÊ AUTOPEÇAS,15,40,40,2000,ok,
MLB3436557739,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB3435263065,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4035264532,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4034973216,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4031298752,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3440400559,JOTABÊ AUTOPEÇAS,15,40,40,2000,ok,
MLB3438427579,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4031294378,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3438509733,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3438594073,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3438447041,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3440486701,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4023570916,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4023518788,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3440418459,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4034742486,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB4040752582,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3445666123,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3444394033,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4049830732,JOTABÊ AUTOPEÇAS,15,15,15,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB4038148142,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4034788474,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB4040286172,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4049751736,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4040873302,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4040538332,JOTABÊ AUTOPEÇAS,15,15,15,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length; seller_package_width; seller_package_height; seller_package_weight] are too small for the product dimensions)
MLB3445987729,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4038080592,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4040695276,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3452404343,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4066025330,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3452465267,JOTABÊ AUTOPEÇAS,50,15,66,600,ok,
MLB4057113882,JOTABÊ AUTOPEÇAS,15,15,15,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB3452268465,JOTABÊ AUTOPEÇAS,15,17,52,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height; seller_package_width; seller_package_weight] are too small for the product dimensions)
MLB4057124906,JOTABÊ AUTOPEÇAS,15,15,15,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB4049275038,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3452337173,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3449170167,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3452471733,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4063852150,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3452299579,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3452363469,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3449779761,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4049570472,JOTABÊ AUTOPEÇAS,30,50,80,12000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB3955208968,JOTABÊ AUTOPEÇAS,30,70,100,18000,ok,
MLB3430451495,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3430266087,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB3964051202,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3963911256,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB3426480373,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
