itemId,account,category,title,derivedSku,skuSource,price,stock,h,w,l,weightKg,dimSource,mlCategoryLocalId,existingProductId,action,error
"MLB3174950876","JOTABÊ AUTOPEÇAS","MLB63846","Retrovisor Uno Vivace Direito Manual 2014 2015","ML-MLB3174950876","fallback-itemId","143","1","15","15","15","0.6","cat:MLB63846->SMALL","cmmwc3po206vjvsakoqtqu96t","","create-new",""
"MLB3175671523","JOTABÊ AUTOPEÇAS","MLB192566","Bico Injetor Fiat Mobi 55266449","ML-MLB3175671523","fallback-itemId","72","1","10","10","10","0.3","cat:MLB192566->TINY","cmmwbywuu030cvsakj1w868fe","","create-new",""
"MLB3189176379","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Esquerda Uno Vivace 5202788","ML-MLB3189176379","fallback-itemId","136","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB3189216682","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Direita Uno Vivace 5202788 Direito Vermelho","ML-MLB3189216682","fallback-itemId","136","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB3178192317","JOTABÊ AUTOPEÇAS","MLB22668","Bobina Ignição Kia Cerato/kia Soul/hb20 1.6 2730126010","ML-MLB3178192317","fallback-itemId","119","1","10","10","10","0.3","cat:MLB22668->TINY","cmmwbyvf602z6vsak89e5y7u4","","create-new",""
"MLB3175679909","JOTABÊ AUTOPEÇAS","MLB22668","Bobina Ignição Honda New Fit 1.4 16v City 1.5 16v Cm11-116","ML-MLB3175679909","fallback-itemId","98","1","10","10","10","0.3","cat:MLB22668->TINY","cmmwbyvf602z6vsak89e5y7u4","","create-new",""
"MLB3189105338","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Esquerda Uno Vivace 2010 A 2014","ML-MLB3189105338","fallback-itemId","125","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB3175725322","JOTABÊ AUTOPEÇAS","MLB192357","Tbi Fiat Argo Mobi 3 Cilindros 44gte3f4d","ML-MLB3175725322","fallback-itemId","251","1","15","15","15","0.6","cat:MLB192357->SMALL","cmmwbywwg030gvsakcglr48ww","","create-new",""
"MLB3175660570","JOTABÊ AUTOPEÇAS","MLB192566","Bico Injetor Fiat Mobi 55266449","ML-MLB3175660570","fallback-itemId","72","1","10","10","10","0.3","cat:MLB192566->TINY","cmmwbywuu030cvsakj1w868fe","","create-new",""
"MLB3175685478","JOTABÊ AUTOPEÇAS","MLB192566","Bico Injetor Fiat Mobi 55266449","ML-MLB3175685478","fallback-itemId","72","1","10","10","10","0.3","cat:MLB192566->TINY","cmmwbywuu030cvsakj1w868fe","","create-new",""
"MLB3185997713","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Lado Esquerdo Hb20 Cod: 924011s000","ML-MLB3185997713","fallback-itemId","186","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB3185987562","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Lado Esquerdo Hb20 Cod: 924011s000","ML-MLB3185987562","fallback-itemId","186","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB3189214755","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Esquerda Uno Vivace 5202789 Esquerdo Vermelho","ML-MLB3189214755","fallback-itemId","136","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
