productId,sku,name,categoryId,ok,enriched,missingCount,missingIds,issueCodes,blockHints
"cmnwcpqng0001vs4wbqwfd1it","ML-MLB3174950876","Retrovisor Uno Vivace Direito Manual 2014 2015","MLB63846","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcpria0005vs4w9ot3bttg","ML-MLB3175671523","Bico Injetor Fiat Mobi 55266449","MLB192566","yes","3","0","","",""
"cmnwcpsah0009vs4w7hrx0891","ML-MLB3189176379","Lanterna Traseira Esquerda Uno Vivace 5202788","MLB22645","yes","3","0","","",""
"cmnwcpt2s000dvs4wt94ey6fh","ML-MLB3189216682","Lanterna Traseira Direita Uno Vivace 5202788 Direito Vermelho","MLB22645","yes","3","0","","",""
"cmnwcptwb000hvs4wapt5abyf","ML-MLB3178192317","Bobina Ignição Kia Cerato/kia Soul/hb20 1.6 2730126010","MLB22668","yes","3","0","","",""
"cmnwcpuoj000lvs4wr8ot62m4","ML-MLB3175679909","Bobina Ignição Honda New Fit 1.4 16v City 1.5 16v Cm11-116","MLB22668","yes","3","0","","",""
"cmnwcpvgr000pvs4w5cllarix","ML-MLB3189105338","Lanterna Traseira Esquerda Uno Vivace 2010 A 2014","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcpw8v000tvs4wf7y1akf3","ML-MLB3175725322","Tbi Fiat Argo Mobi 3 Cilindros 44gte3f4d","MLB192357","yes","3","0","","",""
"cmnwcpzdh0019vs4w1bjiyge4","ML-MLB3185987562","Lanterna Traseira Lado Esquerdo Hb20 Cod: 924011s000","MLB22645","yes","3","0","","",""
"cmnwcq4zm0021vs4wn59zn9zr","ML-MLB3189158348","Lanterna Traseira Esquerda Uno Vivace 2010 A 2014 5202789","MLB22645","yes","3","0","","",""
"cmnwcq5rk0025vs4w6cbi75vh","ML-MLB3178274821","Bobina Ignição Kia Cerato/kia Soul/hb20 1.6 2730126010","MLB22668","yes","3","0","","",""
"cmnwcq6jo0029vs4w7qjjwr9x","ML-MLB3229153979","Lanterna Traseira Esquerda Volkswagen Up 2014 A 2019 Direito Bicolor","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcq7bo002dvs4wq850nnai","ML-MLB3204044764","Farol Direito Fox Foco Simples 2010 A 2014 Com Detalhe Direito","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqcsv0035vs4wc3eg8mat","ML-MLB3203643426","Farol Fiat Uno Vivace Lado Direito Cód - 52038978 Direito","MLB7863","yes","3","0","","",""
"cmnwcqg24003lvs4wonjciv8i","ML-MLB3203755337","Farol Direito Fiat Uno Vivace 52039026 Esquerdo","MLB7863","yes","3","0","","",""
"cmnwcpx0z000xvs4w6vs35i7s","ML-MLB3175660570","Bico Injetor Fiat Mobi 55266449","MLB192566","yes","3","0","","",""
"cmnwcpxsy0011vs4wag8j7pso","ML-MLB3175685478","Bico Injetor Fiat Mobi 55266449","MLB192566","yes","3","0","","",""
"cmnwcpyl90015vs4w0jh8lam4","ML-MLB3185997713","Lanterna Traseira Lado Esquerdo Hb20 Cod: 924011s000","MLB22645","yes","3","0","","",""
"cmnwcwdsz00xlvs4w4xkwfrah","ML-MLB3895158286","Modulo Antena Volvo V40 2014 6g9115k603kb","MLB120498","no","1","1","MODEL","missing_attribute","Preencha o modelo do veículo antes de publicar."
"cmnwfcbyg0d9pvs4w794i6r1p","29865","Tensor Polia Correia Citroen C3 2013/2020 (usado)","MLB193151","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcq05o001dvs4wn682uz3a","ML-MLB3189214755","Lanterna Traseira Esquerda Uno Vivace 5202789 Esquerdo Vermelho","MLB22645","yes","3","0","","",""
"cmnwcq0yy001hvs4w7fy4w32b","ML-MLB3185969556","Lanterna Traseira Esquerda Hb20 924011s000 Original Usada","MLB22645","yes","3","0","","",""
"cmnwcq1qy001lvs4w27vk7sfi","ML-MLB3178505221","Sensor Map Fiat Argo Cód: 261230268","MLB192362","yes","3","0","","",""
"cmnwcq2n2001pvs4wp19vrhyb","ML-MLB3147041768","Retrovisor Gol G6 Direito Manual","MLB63846","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcq3f6001tvs4whmwhhdny","ML-MLB3177890198","Bobina Ignição Renault Cod: 0 040 100 071","MLB22668","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcq47a001xvs4wfgkthipz","ML-MLB3189217362","Lanterna Traseira Direita Uno Vivace 5202788 Direito Vermelho","MLB22645","yes","3","0","","",""
"cmnwcq83p002hvs4wy122hyx7","ML-MLB3226024353","Lanterna Traseira Chery Tiggo 2 Com Detalhe Esquerdo/motorista Bicolor","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
